"id","iddoc","mois_installation","an_installation","nb_panneaux","panneaux_marque","panneaux_modele","nb_onduleur","onduleur_marque","onduleur_modele","puissance_crete","surface","pente","pente_optimum","orientation","orientation_optimum","installateur","production_pvgis","lat","lon","country","postal_code","postal_code_suffix","postal_town","locality","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","political"
"72","32611","09","2017","26","AlfaSolar","alfasolar 250 P","2","EFFEKTA","ES1000","6500","40","60","38","Sud","-3","Moi m&amp;ecirc;me","6549","49.04","2.12","France","95310",,,"Saint-Ouen-l\'AumÃ´ne","ÃŽle-de-France","Val-d\'Oise",,,
"73","238","02","2008","8","Schuco","S 175-SP-3","1","SMA","Sunny Boy 1100E","1400","10","25","37","90","0","ENERCOS technologies","1379","45.73","4.88","France","69008",,,"Lyon","Auvergne-RhÃ´ne-Alpes","RhÃ´ne",,,
"74","243","02","2008","24","Schuco","S 300-PM-4","3","Siemens","Sinvert Solar 100","7200","66","30","38","Sud","0","BSP","10462","43.86","4.68","France","13150",,,"Boulbon","Provence-Alpes-CÃ´te d'Azur","Bouches-du-RhÃ´ne",,,
"76","241","02","2008","18","Solara","S 861 TI","1","SMA","Sunny Boy 3300 TL","2898","24","20","38","15","0","Ne merite plus d'etre cite","3522","43.45","0.93","France","32220",,,"Puylausic","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Gers",,,
"77","244","05","2007","48","Photowatt","PW6-BIPV1 / 125W","2","SMA","Sunny Boy 3000TL","6000","45","20","37","45","2","hairionelec et DiagEnergies","7032","43.91","1.96","France","81600",,,"RiviÃ¨res","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Tarn",,,
"78","249","06","2008","14","Biohaus","Biosol 190 P","1","SMA","Sunny Boy 2500","2660","19","35","38","10","-2","ENRGERIC","2850","48.77","2.07","France","78280",,,"Guyancourt","ÃŽle-de-France","Yvelines",,,
"79","755","05","2008","16","Mitsubishi","PV-MF175 TD4","1","Schuco","SGI-2500","2800","21","20","36","20","1","Cervin Env","3252","43.56","2.2","France","81290",,,"Viviers-lÃ¨s-Montagnes","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Tarn",,,
"80","261","06","2008","14","Tenesol","TE 2000/200 Poly","1","Tenesol","Energrid EG 2500","2800","21","20","37","35","0","Solaris-enr","3131","45.8","4.71","France","69890",,,"La Tour-de-Salvagny","Auvergne-RhÃ´ne-Alpes","RhÃ´ne",,,
"81","595","08","2008","10","Roto Frank","SPR 10/20 280 (272Wc)","1","SMA","Sunny Boy 2500","2720","20","45","38","Sud","8","Solariis Normandie","2898","49.7","0.37","France","76400",,,"Tourville-les-Ifs","Normandie","Seine-Maritime",,,
"82","264","04","2008","18","Canadian Solar","CS5-165","1","Mastervolt","SunMaster QS 3500","2970","22","15","38","45","2","Helio Therma","3720","43.24","2.69","France","11700",,,"Castelnau-d'Aude","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Aude",,,
"83","266","08","2007","20","Solar-Fabrik","SF 130/2-130","1","Sputnik","SOLARMAX 3000C","2600","20","30","38","-5","-2","Solar Savoies","2922","46.39","6.52","France","74500",,,"Publier","Auvergne-RhÃ´ne-Alpes","Haute-Savoie",,,
"84","267","03","2008","12","Kyocera","KC 200GHT-2","1","Sputnik","SOLARMAX 3000C","2400","24","20","38","20","-2","ENR Atlantique","2670","47.19","-1.43","France","44115",,,"Haute-Goulaine","Pays de la Loire","Loire-Atlantique",,,
"85","753","08","2007","24","Schuco","S 175-SP-3","1","Schuco","SGI-2500","4200","40","20","37","-90","-4","Helio Therma","4329","42.87","2.18","France","11500",,,"Quillan","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Aude",,,
"86","2183","02","2009","14","Sanyo","HIP-210 NKHE1","1","SMA","Sunny Boy 3300 TL","2940","18","30","37","Sud","0","ECOSOL Energie","3009","49.24","6.2","France","57300",,,"Ay-sur-Moselle","Alsace-Champagne-Ardenne-Lorraine","Moselle",,,
"87","2184","05","2008","24","SHARP","ND-162 E1F","1","SMA","Sunny Boy 3300 TL","3888","32","20","38","Sud","-1","Sol&eacute;a","5261","43.7","3.79","France","34980",,,"Saint-GÃ©ly-du-Fesc","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","HÃ©rault",,,
"88","1","09","2007","14","Sanyo","HIP-215 NKHE1","1","SMA","Sunny Boy 2800","3010","22","20","37","-20","1","MECOTECH","3633","43.51","1.51","France","31320",,,"Castanet-Tolosan","Occitanie","Haute-Garonne",,,
"89","4","03","2008","18","Canadian Solar","CS5A-170M","1","Mastervolt","SunMaster QS 3500","3060","23","20","38","70","0","Helio Therma","3742","43.50","3.37","France","34720",,,"Caux","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","HÃ©rault",,,
"90","12","12","2007","63","Mitsubishi","PV-MF175 TD4","4","SMA","Sunny Boy 2500","11025","81","15","37","-20","0","Cervin Enr","13360","45.06","4.88","France","26600",,,"Mercurol","Auvergne-RhÃ´ne-Alpes","DrÃ´me",,,
"91","23","12","2007","12","Sanyo","HIP-210 NKHE5","1","SMA","Sunny Boy 3300 TL","2520","15","45",,"45",,"WATTSOL FR","0","50.58","2.78","France","62840",,,"Neuve-Chapelle","Nord-Pas-de-Calais Picardie","Pas-de-Calais",,,
"92","403","06","2008","36","Imerys","Solardachziegel (50 Wc)","1","SMA","Sunny Boy 1700","1800","18","30",,"-10","-1","ECOLOGGIA","1738","49.02","6.65","France","57380",,,"Guessling-HÃ©mering","Alsace-Champagne-Ardenne-Lorraine","Moselle",,,
"93","8","05","2007","8","Schuco","S 310-PM-4","1","SMA","Sunny Boy 2500","2480","20","20","37","70","1","CRESTEY Energie Renouvelable","2763","43.62","1.25","France","31820",,,"Pibrac","Languedoc-Roussillon Midi-PyrÃ©nÃ©es","Haute-Garonne",,,
"94","10","09","2007","20","Sanyo","HIP-215 NKHE5","1","SMA","Sunny Boy 4200 TL","4300","25","30","38","-40","-2","SIDEC","4694","47.46","-0.50","France","49124",,,"Saint-BarthÃ©lemy-d'Anjou","Pays de la Loire","Maine-et-Loire",,,
"95","14","02","2008","8","Roto Frank","SPR 10/20 280 (272Wc)","1","SMA","Sunny Boy 2100TL","2176","16","20","37","10","-4","SPER","2468","45.62","4.04","France","42600",,,"Montbrison","Auvergne-RhÃ´ne-Alpes","Loire",,,
"96","17","05","2008","21","Kyocera","FL130T-1A","1","SMA","Sunny Boy 2500","2730","22","30","38","-65","-1","Thermi Confort","2832","47.05","-0.90","France","49300",,,"Cholet","Pays de la Loire","Maine-et-Loire",,,
"97","18","10","2007","16","CONERGY","C 125 PL","1","SMA","Sunny Boy 2100TL","2000","16","25","38","20","1","NTD Provence","2947","43.38","5.23","France","13180",,,"Gignac-la-Nerthe","Provence-Alpes-CÃ´te d'Azur","Bouches-du-RhÃ´ne",,,
"99","22","09","2007","24","Photowatt","PW6 / 110W Compact","1","Photowatt","PWI-6-40-I","2640","22","25",,"Sud","0","Grad Elec","2938","47.15","-1.01","France","49600",,,"Saint-Philbert-en-Mauges","Pays de la Loire","Maine-et-Loire",,,
"100","24","06","2007","23","Solar-Fabrik","SF 130/2-130","1","Sputnik","SOLARMAX 3000C","2990","21","30","36","10","0","KBE Solaire","3364","45.16","5.83","France","38410",,,"Saint-Martin-d'Uriage","Auvergne-RhÃ´ne-Alpes","IsÃ¨re",,,
